Date,Host,Service,@ably_sno,ably_market_sno,consumer_origin,@price_origin,@consumer_price_adjustment.discount_type,@consumer_price_adjustment.discount_rate,@consumer_price_adjustment.discount_price,@consumer_price_adjustment.started_at,@consumer_price_adjustment.ended_at,Message
"2025-01-13T04:52:52.653Z","ip-172-31-225-245.ap-northeast-2.compute.internal-ably-prod","seller-api","6091242","10910","54900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:50.429Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","6091239","10910","54900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:48.429Z","ip-172-31-231-180.ap-northeast-2.compute.internal-ably-prod","seller-api","6091236","10910","54900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:46.192Z","ip-172-31-204-250.ap-northeast-2.compute.internal-ably-prod","seller-api","6091233","10910","54900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:43.827Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","6091232","10910","56900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:41.025Z","ip-172-31-215-156.ap-northeast-2.compute.internal-ably-prod","seller-api","6091230","10910","56900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:38.787Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","6091229","10910","56900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:36.786Z","ip-172-31-255-142.ap-northeast-2.compute.internal-ably-prod","seller-api","6091227","10910","56900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:21.330Z","ip-172-31-220-205.ap-northeast-2.compute.internal-ably-prod","seller-api","1547152","5566",,,,,,,,"update_seller_goods"
"2025-01-13T04:52:19.056Z","ip-172-31-236-92.ap-northeast-2.compute.internal-ably-prod","seller-api","12347348","10910","57900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:52:16.768Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","12347346","10910","57900","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:51:53.816Z","ip-172-31-197-243.ap-northeast-2.compute.internal-ably-prod","seller-api","12003317","10910","54000","43900",,,,,,"vendor_seller_update_goods"
"2025-01-13T04:51:51.749Z","ip-172-31-198-123.ap-northeast-2.compute.internal-ably-prod","seller-api","12003308","10910","54000","43900",,,,,,"vendor_seller_update_goods"
